"53","博士山（香港）國際幼稚園","新界馬鞍山恆明街2號聽濤雅苑1期第10座地下樓","http://www.boxhill.edu.hk"
"54","寶山幼兒園","香港渣甸山春暉道9號春暉中心1樓",""
"55","道慈佛社楊譚婉芳幼稚園","香港小西灣佳翠苑顯翠閣地下","http://www.tcfsytyf.edu.hk/"
"56","佛教張梅桂幼稚園","新界大嶼山大澳龍田邨第2期幼稚園座地下KG01室","http://www.hkedcity.net/ihouse/bcm-web"
"57","佛教慈光幼稚園","新界天水圍天悅邨服務設施大樓3樓1號幼稚園","http://www.bckkg.edu.hk"
"58","佛教慈慧幼兒園","九龍觀塘雲漢邨漢松樓3號地下","http://www.hkbuddhist.org/bcwdn"
"59","佛教真如幼稚園（東涌）","新界東涌逸東商場2樓5號幼稚園校舍","http://www.bcykgtc.edu.hk/"
"60","佛教傅康幼稚園","九龍黃大仙黃大仙下邨龍逸樓地下","http://www.bfhkwts.edu.hk"
"61","佛教金麗幼稚園","九龍藍田康雅苑九及十座地下","http://www.buddhist-kam-lai-kg.edu.hk"
"62","佛教沈東福幼稚園","新界上水彩園邨彩湖樓地下","http://www.sumtungfookkg.edu.hk"
"63","佛教曾果成中英文幼稚園","九龍深水埗麗閣邨麗萱樓3樓平台","http://www.tsangkorsing.edu.hk"
"64","小蜜蜂幼稚園","九龍清水灣香港科技大學18座地下","http://ihome.ust.hk/~busybees/"
"65","基督教宣道會頌安幼稚園","新界沙田馬鞍山錦豐苑錦萱閣地下","http://www.joyfulk.edu.hk"
"66","基督教宣道會富山幼兒學校","九龍蒲崗村道富山邨富信樓地庫1層1-6號","http://fushan.cmasshk.org"
"67","基督教宣道會利東幼兒學校","香港鴨脷洲利東邨東興樓102-112室地下","http://www.cmasshk.org/"
"68","基督教宣道會寶湖幼兒學校","新界大埔寶湖道3號寶湖花園地下106號鋪","http://www.plovercove.cmasshk.edu.hk"
"69","基督教宣道會沙田幼兒學校","新界沙田沙角邨金鶯樓1-13號地下","http://www.shatin.cmasshk.edu.hk"
"70","基督教宣道會海怡幼兒學校","香港鴨脷洲怡南路海怡半島第4期29座高層地面","http://southhorizons.cmasshk.org"
"71","基督教宣道會天頌幼兒學校","新界天水圍天頌苑服務設施大樓1字樓","http://www.tinchung.cmasshk.edu.hk/"
"72","基督教宣道會香港區聯會將軍澳宣道幼稚園","新界將軍澳裕明苑裕榮閣地下","http://www.cmatkokg.edu.hk"
"73","基督教宣道會錦綉幼稚園","新界元朗錦繡花園市中心D及E座1樓","http://www.cmafvpkg.edu.hk"
"74","宣道會上書房中英文幼稚園","香港杏花邨盛泰路100號","http://www.scholarskg.edu.hk"
"75","宣道會秀茂坪陳李詠貞幼稚園","九龍觀塘秀茂坪曉麗苑曉天閣A座地下","http://www.caclwtkg.edu.hk"
